Name,Draft Year,Nationality,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Kai Jones,2021,Bahamas,Big,Big 12,Texas,#BF5700,19,Charlotte Hornets,CHA,20.42,82,"6'10""",85.75,"7'1.75""",3.75,221
Jalen Johnson,2021,USA,Wing,ACC,Duke,#003087,20,Atlanta Hawks,ATL,19.5,79.75,"6'7.75""",84.25,"7'0.25""",4.5,210
Keon Johnson,2021,USA,Guard,SEC,Tennessee,#FF8200,21,Los Angeles Clippers,LAC,19.28,75.5,"6'3.5""",79.25,"6'7.25""",3.75,185
Isaiah Jackson,2021,USA,Big,SEC,Kentucky,#0033A0,22,Indiana Pacers,IND,19.44,81.5,"6'9.5""",86.25,"7'2.25""",4.75,206
Usman Garuba,2021,Spain,Big,Spanish ACB,Real Madrid,#FEBE10,23,Houston Rockets,HOU,19.28,80,"6'8""",86,"7'2""",6,229
Josh Christopher,2021,USA,Guard,PAC 12,Arizona State,#8C1D40,24,Houston Rockets,HOU,19.53,75.25,"6'3.25""",81.25,"6'9.25""",6,215
Quentin Grimes,2021,USA,Wing,American,Houston,#C8102E,25,New York Knicks,NYK,21.12,76,"6'4""",80,"6'8""",4,205
Bones Hyland,2021,USA,Guard,A-10,VCU,#FFB300,26,Denver Nuggets,DEN,20.76,74,"6'2""",81.25,"6'9.25""",7.25,169
Cam Thomas,2021,USA,Guard,SEC,LSU,#461D7C,27,Brooklyn Nets,BKN,19.68,75,"6'3""",78.5,"6'6.5""",3.5,210
Jaden Springer,2021,USA,Guard,SEC,Tennessee,#FF8200,28,Philadelphia 76ers,PHI,18.73,75,"6'3""",79.75,"6'7.75""",4.75,202
Day'Ron Sharpe,2021,USA,Big,ACC,North Carolina,#7BAFD4,29,Brooklyn Nets,BKN,19.62,81,"6'9""",84,"7'0""",3,265
