Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Johnny Furphy,2024,Wing,Big 12,Kansas,#0051BA,35,Indiana Pacers,IND,19.53,79.5,"6'7.5""",80,"6'8""",0.5,202
Juan Núñez,2024,Guard,German BBL,Ratiopharm Ulm,#D74F37,36,San Antonio Spurs,SAS,20.04,76,"6'4""",78.5,"6'6.5""",2.5,190
Bobi Klintman,2024,Wing,Aus. NBL,Cairns,#DE6237,37,Detroit Pistons,DET,21.29,80.75,"6'8.75""",83,"6'11""",2.25,212
Ajay Mitchell,2024,Guard,Big West,UC Santa Barbara,#FEBC11,38,Oklahoma City Thunder,OKC,21.99,75.25,"6'3.25""",78.25,"6'6.25""",3,197
Jaylen Wells,2024,Wing,PAC 12,Washington State,#981E32,39,Memphis Grizzlies,MEM,20.82,78.5,"6'6.5""",79.25,"6'7.25""",0.75,206
Oso Ighodaro,2024,Big,Big East,Marquette,#FFCC00,40,Phoenix Suns,PHX,21.97,81.5,"6'9.5""",83,"6'11""",1.5,222
Adem Bona,2024,Big,PAC 12,UCLA,#2D68C4,41,Philadelphia 76ers,PHI,21.23,81.5,"6'9.5""",87.75,"7'3.75""",6.25,243
KJ Simpson,2024,Guard,PAC 12,Colorado,#CFB87C,42,Charlotte Hornets,CHA,21.87,72.25,"6'0.25""",76.5,"6'4.5""",4.25,187
Nikola Djurisic,2024,Wing,Adriatic ABA,KK Mega Basket,#CB2F6D,43,Atlanta Hawks,ATL,20.32,79,"6'7""",80,"6'8""",1,209
Pelle Larsson,2024,Wing,PAC 12,Arizona,#CC0033,44,Miami Heat,MIA,23.32,77.25,"6'5.25""",79.5,"6'7.5""",2.25,212
Jamal Shead,2024,Guard,Big 12,Houston,#C8102E,45,Toronto Raptors,TOR,21.99,72.25,"6'0.25""",75,"6'3""",2.75,201
