Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
DeMarcus Nelson,,2008,PG-SG,PG,SG,SG,0,,,"6'1""",73,"8'2.5""",98.5,"6'10""",82,198,10.54,,3.13,34.5,38.5,0.6688963211,13.5451505,74.91638796,39.4295302,,,32.13999125,93.46153846,80.34351145,,86.90252496,78.24427481,95.30075188,86.77251334,68.60500985,88.24701195
Deron Washington,Virginia Tech,2008,SF,SF,SG-PF,SG,0,,,"6'5.25""",77.25,"8'6.5""",102.5,"6'9""",81,198.5,11.03,,3.09,34,40,90.96989967,75.91973244,57.85953177,40.93959732,,,66.4221903,54.80769231,89.69465649,,72.2511744,86.64122137,92.85714286,89.74918212,76.14084894,95.81673307
Deron Washington,Virginia Tech,2008,SF,SF,SG-PF,PF,0,,,"6'5.25""",77.25,"8'6.5""",102.5,"6'9""",81,198.5,11.03,,3.09,34,40,1.822323462,2.391799544,1.822323462,2.050113895,,,2.021640091,87.12121212,98.34605598,,92.73363405,98.48484848,97.6070529,98.04595069,64.26707494,83.37628866
Derrick Rose,Memphis,2008,PG,PG,SG,SG,0,,,"6'1.5""",73.5,"8'2.5""",98.5,"6'8""",80,196,11.69,,3.05,34.5,40,2.173913043,13.5451505,38.29431438,33.72483221,,,21.93455254,11.34615385,95.61068702,,53.47842043,86.64122137,95.30075188,90.97098663,55.46131987,63.14741036
DeVon Hardin,California,2008,C-PF,PF,C,C,0,,,"6'9.5""",81.5,"9'1.5""",109.5,"7'3""",87,235,11.49,,3.33,29.5,32,25.38860104,35.9375,45.33678756,30.31088083,,,34.24344236,72.5,68.75,,70.625,55.9375,74.0625,65,56.62281412,65.50632911
Donte Greene,Syracuse,2008,SF-PF,PF,SF,SF,0,,,"6'8.25""",80.25,"9'0""",108,"6'10""",82,221,11.21,,3.2,27.5,31.5,96.74418605,97.20930233,37.20930233,70.11627907,,,75.31976744,55.67010309,68.29896907,,61.98453608,14.61538462,24.03598972,19.32568717,52.2099969,53.6939314
Eric Gordon,Indiana,2008,SG,SG,PG-SF,PG,0,,,"6'2""",74,"8'3""",99,"6'9""",81,222,10.81,,3.01,32,40,68.767507,72.26890756,90.89635854,98.87640449,,,82.7022944,73.57594937,97.77777778,,85.67686357,87.3015873,78.63924051,82.9704139,83.78319063,100
Eric Gordon,Indiana,2008,SG,SG,PG-SF,SF,0,,,"6'2""",74,"8'3""",99,"6'9""",81,222,10.81,,3.01,32,40,0.2325581395,1.627906977,19.65116279,72.79069767,,,23.5755814,87.88659794,99.09793814,,93.49226804,92.43589744,79.04884319,85.74237031,67.60340658,89.05013193
Frank Elegar,,2008,PF,PF,SF-C,SF,0,,,"6'7.25""",79.25,"8'10""",106,"7'3.25""",87.25,210,11.86,,3.17,33.5,37.5,81.62790698,79.53488372,98.8372093,38.02325581,,,74.50581395,13.40206186,77.19072165,,45.29639175,75.76923077,89.71722365,82.74322721,67.51514431,89.05013193
Frank Elegar,,2008,PF,PF,SF-C,C,0,,,"6'7.25""",79.25,"8'10""",106,"7'3.25""",87.25,210,11.86,,3.17,33.5,37.5,3.367875648,5.208333333,50.25906736,3.10880829,,,15.48602116,48.125,93.125,,70.625,94.375,95.9375,95.15625,60.42242372,72.46835443
