Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
@double_pg,2025,60,4.105,0.183,-0.51,8.281,0.109,-1.07,13.623,0.178,-1.10,0.437,0.098,-1.45,0.46,0.095,-1.27,0.59,0.024,-2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SpencerVonNBA,2025,60,1.641,0.866,0.83,3.279,0.912,1.11,6.454,0.836,0.88,0.701,0.451,0.05,0.528,0.184,-0.82,0.765,0.259,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Chambers,2025,60,2.099,0.72,0.58,5.101,0.578,0.32,8.381,0.575,0.35,0.811,0.732,0.68,0.644,0.401,-0.05,0.76,0.212,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@codyreeves14,2025,60,1.117,0.939,1.11,2.556,0.959,1.43,5.976,0.89,1.01,0.916,0.945,1.27,0.744,0.687,0.62,0.827,0.459,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nikoza2,2025,60,3.505,0.299,-0.18,5.533,0.469,0.13,8.144,0.644,0.41,0.42,0.073,-1.54,0.677,0.483,0.17,0.823,0.424,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Ethan387,2025,60,1.804,0.835,0.74,3.551,0.884,0.99,8.981,0.466,0.18,0.802,0.707,0.62,0.787,0.823,0.91,0.853,0.612,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NicThomasNBA,2025,60,3.085,0.439,0.05,10.49,0.061,-2.04,13.661,0.164,-1.11,0.758,0.555,0.37,0.519,0.17,-0.88,0.611,0.035,-1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@dancingwithnoah,2025,60,1.094,0.957,1.13,4.9,0.639,0.40,12.496,0.205,-0.79,0.811,0.732,0.68,0.804,0.85,1.02,0.875,0.741,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sammygprops,2025,60,2.097,0.726,0.58,4.041,0.816,0.78,4.87,0.945,1.31,0.881,0.902,1.07,0.827,0.912,1.17,0.891,0.812,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@_R_M_M,2025,60,3.757,0.244,-0.32,7.37,0.17,-0.68,7.097,0.767,0.70,0.741,0.518,0.28,0.623,0.374,-0.19,0.858,0.671,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SBNRicky,2025,60,0.577,0.982,1.41,1.577,1,1.86,4.093,0.986,1.53,0.873,0.878,1.03,0.722,0.605,0.47,0.865,0.694,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
