Rank,Name,Role,Pre-NBA,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Initial Score,Confidence Adj. Score,Cumulative Prospect Score,Cumulative PS/1000,Age Score,Measurables Score,Athletic Score,Defense Score,Usage Score,Scoring Score,Self Creation Score,Touch Score,IQ Score,Tier
50,Hansen Yang,Big,Qingdao,16,Portland Trail Blazers,POR,19.99,85,"7'1""",86.75,"7'2.75""",1.75,253,318,318,350,0.35,0.57,0.61,0.03,0.49,0.57,0.59,0.18,0.28,0.04,5
51,Eric Dixon,Big,Villanova,UDFA,Los Angeles Lakers,LAL,24.42,79.5,"6'7.5""",83.5,"6'11.5""",4,259,314,314,345,0.345,0.3,0.66,0.07,0.44,1,0.59,0.15,0.39,0.06,4
52,Nique Clifford,Wing,Colorado State,24,Sacramento Kings,SAC,23.38,77.25,"6'5.25""",80,"6'8""",2.75,202,383,383,345,0.345,0.3,0.14,0.19,0.8,0.81,0.58,0.35,0.58,0.2,4
53,Chance McMillian,Guard,Texas Tech,UDFA,Golden State Warriors,GSW,24.39,73.5,"6'1.5""",77,"6'5""",3.5,181,313,313,344,0.344,0.3,0.04,0.1,0.49,0.39,0.94,0.06,0.23,0.12,4
54,RJ Luis Jr.,Wing,St. John's,UDFA,Utah Jazz,UTA,22.58,77.75,"6'5.75""",82.5,"6'10.5""",4.75,210,311,311,342,0.342,0.3,0.23,0.26,0.8,0.8,0.23,0.1,0.38,0.12,4
55,Kobe Johnson,Wing,UCLA,UDFA,Atlanta Hawks,ATL,22.44,76.5,"6'4.5""",79.5,"6'7.5""",3,193,309,309,340,0.34,0.32,0.17,0.07,0.73,0.37,0.42,0.12,0.13,0.35,4
56,Isaac Nogues,Wing,Rip City Remix,UDFA,Sacramento Kings,SAC,21.37,76.75,"6'4.75""",81.75,"6'9.75""",5,201,308,308,339,0.339,0.4,0.16,0.26,0.52,0,0.31,0.34,0.34,0.28,4
57,Alex Toohey,Wing,Sydney,52,Golden State Warriors,GSW,21.14,79.75,"6'7.75""",82.75,"6'10.75""",3,223,308,308,339,0.339,0.4,0.32,0.12,0.59,0.53,0.41,0.18,0.26,0.2,4
58,Sion James,Wing,Duke,33,Charlotte Hornets,CHA,22.56,76.5,"6'4.5""",78.5,"6'6.5""",2,218,307,307,338,0.338,0.3,0.22,0.14,0.51,0.4,0.67,0.01,0.03,0.24,4
59,Tyrese Proctor,Guard,Duke,49,Cleveland Cavaliers,CLE,21.23,76.25,"6'4.25""",79.25,"6'7.25""",3,183,305,305,336,0.336,0.4,0.04,0.1,0.59,0.46,0.55,0.19,0.22,0.19,4
60,Rocco Zikarsky,Big,Brisbane,45,Minnesota Timberwolves,MIN,18.96,87,"7'3""",88.75,"7'4.75""",1.75,257,301,301,331,0.331,0.81,0.67,0.1,0.49,0.4,0.15,0.41,0.28,0,4
61,Matthew Cleveland,Wing,Miami,UDFA,Dallas Mavericks,DAL,22.78,79,"6'7""",84,"7'0""",5,210,300,300,330,0.33,0.3,0.1,0.37,0,0.74,0.54,0.24,0.46,0.11,4
62,Chaz Lanier,Wing,Tennessee,37,Detroit Pistons,DET,23.52,75.75,"6'3.75""",81,"6'9""",5.25,206,300,300,330,0.33,0.3,0.18,0.1,0.67,0.7,0.51,0.11,0.55,0.09,4
63,Caleb Love,Guard,Arizona,UDFA,Portland Trail Blazers,POR,23.75,74.25,"6'2.25""",80.75,"6'8.75""",6.5,203,298,298,328,0.328,0.3,0.15,0.1,0.59,0.66,0.37,0.28,0.28,0.25,4
64,Hugo González,Wing,Real Madrid,28,Boston Celtics,BOS,19.39,78.25,"6'6.25""",82.75,"6'10.75""",4.5,223,294,294,323,0.323,0.81,0.34,0.09,0.59,0.4,0.24,0.18,0.26,0,4
65,Andrew Carr,Big,Kentucky,UDFA,Portland Trail Blazers,POR,23.4,81.5,"6'9.5""",83.75,"6'11.75""",2.25,222,291,291,320,0.32,0.3,0.29,0.13,0.32,0.45,0.61,0.34,0.26,0.15,3
66,Wade Taylor IV,Guard,Texas A&M,UDFA,Milwaukee Bucks,MIL,22.06,69.5,"5'9.5""",74.5,"6'2.5""",5,185,290,290,319,0.319,0.32,0,0.09,0.54,0.77,0.32,0.53,0.23,0.22,3
67,Jahmyl Telfort,Wing,Butler,UDFA,Los Angeles Clippers,LAC,24.16,79,"6'7""",85,"7'1""",6,225,289,289,318,0.318,0.3,0.22,0.07,0.41,0.67,0.43,0.25,0.73,0.16,3
68,Tamar Bates,Wing,Missouri,UDFA,Denver Nuggets,DEN,22.34,75.75,"6'3.75""",82.25,"6'10.25""",6.5,191,285,285,314,0.314,0.32,0.1,0.11,0.26,0.53,0.77,0.25,0.18,0.1,3
69,Rasheer Fleming,Wing,Saint Joseph's,31,Phoenix Suns,PHX,20.96,80.25,"6'8.25""",89.75,"7'5.75""",9.5,232,348,348,313,0.313,0.4,0.57,0.17,0.7,0.53,0.73,0.01,0.02,0.09,3
70,Jamir Watkins,Wing,Florida State,43,Washington Wizards,WAS,23.98,77,"6'5""",83.25,"6'11.25""",6.25,215,284,284,312,0.312,0.3,0.28,0.13,0.56,0.9,0.39,0.23,0.35,0.06,3
71,Koby Brea,Wing,Kentucky,41,Phoenix Suns,PHX,22.64,77.75,"6'5.75""",77.25,"6'5.25""",-0.5,202,282,282,310,0.31,0.3,0.11,0.09,0.31,0.32,0.81,0.38,0.17,0.09,3
72,Dink Pate,Wing,Mexico City,UDFA,New York Knicks,NYK,19.29,78.25,"6'6.25""",81.75,"6'9.75""",3.5,201,280,280,308,0.308,0.81,0.14,0.1,0.52,0.51,0.05,0.11,0.34,0.12,3
73,Will Riley,Wing,Illinois,21,Washington Wizards,WAS,19.37,80.25,"6'8.25""",80.75,"6'8.75""",0.5,186,280,280,308,0.308,0.81,0,0.08,0.35,0.63,0.29,0.37,0.31,0,3
74,Wooga Poplar,Wing,Villanova,UDFA,Chicago Bulls,CHI,22.47,75.75,"6'3.75""",78,"6'6""",2.25,192,278,278,306,0.306,0.32,0.08,0.12,0.51,0.67,0.53,0.11,0.31,0.09,3
75,Viktor Lakhin,Big,Clemson,,Portsmouth Invitational,,23.91,83,"6'11""",85.5,"7'1.5""",2.5,245,277,277,305,0.305,0.3,0.29,0.13,0.53,0.73,0.39,0.27,0.35,0.07,3
76,Mark Sears,Guard,Alabama,UDFA,Milwaukee Bucks,MIL,23.35,70.75,"5'10.75""",74,"6'2""",3.25,183,275,275,303,0.303,0.3,0.02,0.09,0.46,0.77,0.49,0.22,0.18,0.16,3
77,Cedric Coward,Wing,Washington State,11,Memphis Grizzlies,MEM,21.79,77.25,"6'5.25""",86.25,"7'2.25""",9,213,347,335,302,0.302,0.32,0.31,0.1,0.41,0.6,1,0.06,0.39,0.1,3
78,Kobe Sanders,Wing,Nevada,50,Los Angeles Clippers,LAC,23.07,79,"6'7""",80.25,"6'8.25""",1.25,203,335,335,302,0.302,0.3,0.13,0.12,0.39,0.78,0.42,0.34,0.68,0.34,3
79,Cameron Matthews,Wing,Mississippi State,UDFA,Houston Rockets,HOU,23.51,77.75,"6'5.75""",83,"6'11""",5.25,235,271,271,298,0.298,0.3,0.22,0.16,0.67,0.42,0.11,0.11,0.05,0.36,3
80,Drake Powell,Wing,North Carolina,22,Brooklyn Nets,BKN,19.8,77.25,"6'5.25""",84,"7'0""",6.75,200,271,271,298,0.298,0.57,0.17,0.08,0.32,0.26,0.44,0.4,0.1,0.12,3
81,Carter Bryant,Wing,Arizona,14,San Antonio Spurs,SAS,19.58,78.5,"6'6.5""",83.75,"6'11.75""",5.25,215,271,271,298,0.298,0.57,0.28,0.12,0.29,0.36,0.53,0.07,0.04,0.07,3
82,Izan Almansa,Big,Perth,UDFA,Philadelphia 76ers,PHI,20.05,81.25,"6'9.25""",85.75,"7'1.75""",4.5,220,269,269,296,0.296,0.57,0.34,0.09,0.59,0.44,0.25,0.18,0.26,0.04,3
83,Lachlan Olbrich,Big,Illawarra,55,Chicago Bulls,CHI,21.49,80.75,"6'8.75""",83.25,"6'11.25""",2.5,230,268,268,295,0.295,0.4,0.39,0,0.49,0.51,0.49,0.41,0.28,0.03,3
84,Liam McNeeley,Wing,UConn,29,Charlotte Hornets,CHA,19.71,78.75,"6'6.75""",80.5,"6'8.5""",1.75,215,260,260,286,0.286,0.57,0.23,0.08,0.5,0.67,0.29,0.05,0.19,0.05,2
85,Grant Nelson,Big,Alabama,UDFA,Brooklyn Nets,BKN,23.27,82,"6'10""",84,"7'0""",2,230,256,256,282,0.282,0.3,0.36,0.21,0.5,0.54,0.44,0.02,0.1,0.01,2
86,Igor Milicic Jr.,Wing,Tennessee,UDFA,Philadelphia 76ers,PHI,22.83,80.75,"6'8.75""",83,"6'11""",2.25,225,255,255,281,0.281,0.3,0.31,0.11,0.67,0.52,0.42,0,0,0.08,2
87,Payton Sandfort,Wing,Iowa,UDFA,Oklahoma City Thunder,OKC,22.95,78.25,"6'6.25""",80,"6'8""",1.75,214,245,245,270,0.27,0.3,0.18,0.1,0.33,0.74,0.42,0.03,0.35,0.09,2
88,John Poulakidas,Wing,Yale,UDFA,Los Angeles Clippers,LAC,22.22,76.5,"6'4.5""",81.25,"6'9.25""",4.75,199,296,296,266,0.266,0.32,0.14,0.09,0.23,0.65,0.63,0.29,0.88,0.07,2
89,Jacksen Moni,Big,North Dakota State,UDFA,San Antonio Spurs,SAS,22.35,80.75,"6'8.75""",82.75,"6'10.75""",2,230,296,296,266,0.266,0.32,0.36,0.08,0.14,0.97,0.74,0.22,0.43,0.04,2
90,Jalon Moore,Wing,Oklahoma,,NBA Combine,,22.21,78.25,"6'6.25""",80.25,"6'8.25""",2,203,241,241,265,0.265,0.32,0.17,0.13,0.44,0.66,0.51,0,0.08,0,2
91,Maxime Raynaud,Big,Stanford,42,Sacramento Kings,SAC,22.22,84.25,"7'0.25""",85.25,"7'1.25""",1,237,281,281,253,0.253,0.32,0.4,0.01,0.6,0.9,0.41,0.02,0.73,0.04,2
92,Jonathan Pierre,Wing,Belmont,UDFA,Washington Wizards,WAS,22.18,80.25,"6'8.25""",84,"7'0""",3.75,214,252,252,227,0.227,0.32,0.26,0.11,0.18,0.77,0.37,0.29,0.23,0.15,1
93,Nate Santos,Wing,Dayton,UDFA,Orlando Magic,ORL,23.63,77.5,"6'5.5""",80,"6'8""",2.5,210,209,209,188,0.188,0.3,0.19,0.07,0.32,0.55,0.46,0.08,0.13,0.01,1
