Name,Draft Year,Class,Role,Position,Pre-NBA,League,SOS,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Ath. Score,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,BPM,BPM/Age,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,TS%,eFG%,PProd,Team ORtg,ORtg,ORtg +/-,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Top 3 Pick,Lottery Pick,G Played Issue,Size,Athleticism,Defense,Rebounding,Scoring,Passing,Shooting,Efficiency,Tier,Comp1,Similarity1,Comp2,Similarity2,Comp3,Similarity3,Comp4,Similarity4,Comp5,Similarity5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,NBA Team,NBA
Miles Kelly,2025,Senior,Wing,2.5,Auburn,SEC,15.13,#0C2340,22.42,76,"6'4""",80.25,"6'8.25""",4.25,178,0.065,,0.504,0.504,0,0.50,11.3,3.7,1.4,13,7.4,1.1,0.9,1.22,6.4,8,0.80,1,0.4,1.4,2.1,1.5,3.6,100,103,-3,7.6,0.34,0.19,0.909,0.75,0.671,0.378,2.3,0.8694,0.75,0.75,0.568,0.533,369,119.6,119.2,-0.4,19,0.59,0.06,0.047,0.34,0.421,1,0,0,0,0,0,0,0,0,,6.5,50.4,28.9,4.8,21.9,18.8,82.4,46.9,Bench Reserve,Isaiah Joe,81,Darrun Hilliard,80.2,Jabari Bird,78,Quentin Grimes,77.7,Seth Lundy,76.3,-2.702,-1.610,-1.130,-1.814,-1.104,0.892,-1.131,,,,,,,G League Combine,
Igor Milicic Jr.,2025,Senior,Wing,3.5,Tennessee,SEC,13.25,#FF8200,22.83,80.75,"6'8.75""",83,"6'11""",2.25,225,0.679,,0.241,0.241,0,0.25,9.4,6.7,9.1,21.2,15.5,1.9,1.5,1.27,15,15.3,0.98,0.7,0.7,1.4,1.7,3.4,5.1,97.1,96.3,0.8,7.8,0.34,0.313,0.735,0.5,0.457,0.314,1,0.314,0.5,0.5,0.573,0.543,353,114,117.1,3.1,20.1,0.47,0.09,0.075,0.75,0.761,1,0,0,0,0,0,0,0,0,,67.9,24.1,68.2,90.9,5.5,51.6,45.4,52.9,Fringe NBA,Toumani Camara,79.1,Paul Zipser,78.3,Kevin Hervey,77.8,James Ennis III,77.8,Jalen Slawson,76.5,-2.965,-1.750,-1.070,-1.929,-0.689,0.786,-1.138,,,,,,,G League Combine,
Arthur Kaluma,2025,Senior,Wing,3.5,Texas,SEC,9.79,#BF5700,23.32,78.25,"6'6.25""",85,"7'1""",6.75,223,0.718,,0.425,0.425,0,0.50,12.3,7.5,6.5,22.6,14.8,1.8,1.6,1.13,11.8,12.6,0.94,0.9,0.9,1.8,1.9,3.4,5.3,104.7,102.2,2.5,7.6,0.33,0.38,0.784,0.5,0.302,0.359,1,0.359,0.5,0.5,0.564,0.516,404,113.1,115.5,2.4,21.8,0.56,0.08,0.073,0.54,0.578,1,0,0,0,0,0,0,0,0,,71.8,42.5,76,79.2,15.1,28.4,45.4,38.5,Fringe NBA,DeAndre Daniels,80,Tres Tinkle,79.9,Josh Huestis,78.9,Jarrell Brantley,77.8,Dean Wade,77.7,-3.018,-1.687,-1.238,-1.981,-0.659,0.885,-1.143,,,,,,,G League Combine,
Curtis Jones,2025,Senior,Guard,2,Iowa State,Big 12,10.33,#C8102E,24.41,75,"6'3""",79.5,"6'7.5""",4.5,183,0.651,,0.408,0.408,0,0.50,17.4,4.2,1.8,14.5,8.4,2.3,1.4,1.64,15.2,8.5,1.79,1.1,0.2,1.3,2.2,0.7,2.9,97.1,100.6,-3.5,8.7,0.36,0.282,0.845,0.75,0.513,0.374,2.6,0.9724,0.75,0.75,0.569,0.526,534,114.1,119.7,5.6,27.5,0.63,0.08,0.051,0.55,0.309,1,0,0,0,0,0,0,0,0,,65.1,40.8,24.4,52.3,35.5,6.1,74,56.5,Fringe NBA,Boogie Ellis,79.7,Myles Powell,78.2,Joe Young,78.1,Malcolm Brogdon,76.4,Olivier Hanlan,76.3,-3.189,-2.242,-1.052,-2.161,-0.122,0.853,-1.150,,,,,,,G League Combine,
Thierry Darlan,2025,G League,Wing,3,Delaware Blue Coats,G League,20.69,#006BB6,21.39,78,"6'6""",86,"7'2""",8,207,0.65,,0.120,0.120,0,0.25,10.9,6,6.1,19.7,12.5,2,2,1.00,11.4,18,0.63,1.1,1.3,2.4,2,4.6,6.6,118.9,115.7,3.2,0.8,0.04,0.202,0.673,0.25,0.432,0.371,,0.371,0.5,0.4375,0.599,0.537,,114.7,103.2,-11.5,19.1,0.57,0.10,0.105,0.60,0.942,0,0,0,0,1,1,0,0,0,,65,12,88.5,65.6,32,56.8,31.2,63.8,Fringe NBA,James Ennis III,79,DeAndre Daniels,78.8,Bobi Klintman,78.1,Ron Harper Jr.,77.8,Cameron Oliver,77.7,-3.080,-1.156,-1.127,-1.788,-1.107,0.694,-1.155,,,,,,,G League Combine,
Caleb Love,2025,Senior,Guard,1.5,Arizona,Big 12,13.72,#CC0033,23.75,74.25,"6'2.25""",80.75,"6'8.75""",6.5,203,0.811,,0.624,0.624,0,0.50,17.2,4.4,1.2,12.6,7.2,3.4,1.9,1.79,18.2,10.7,1.70,1.2,0.3,1.5,1.9,0.9,2.8,103.3,107.3,-4,7.5,0.32,0.234,0.889,1,0.535,0.34,2.6,0.884,0.5,0.625,0.534,0.489,598,116.3,114.4,-1.9,25.8,0.67,0.13,0.074,0.71,0.415,1,0,0,0,0,0,0,0,0,,81.1,62.4,18.7,26.3,53.4,24.4,57.4,22.9,Fringe NBA,Wayne Selden,79.5,Omari Moore,79.4,A.J. Lawson,78.8,Isaiah Cousins,76.7,Duane Washington Jr.,76.7,-3.094,-2.241,-0.997,-2.111,-0.198,0.670,-1.172,,,,,,,G League Combine,
Will Richard,2025,Senior,Wing,2.5,Florida,SEC,12.6,#FA4616,22.5,75.25,"6'3.25""",81.75,"6'9.75""",6.5,210,0.258,,0.433,0.433,0,0.50,13.3,4.6,4,11,7.7,1.9,1.6,1.19,9.9,12.7,0.78,1.7,0.3,2,3,1.1,4.1,98.6,100.3,-1.7,9.6,0.43,0.253,0.844,0.75,0.587,0.359,2,0.718,0.5,0.5625,0.624,0.592,485,120.1,126.8,6.7,18.3,0.73,0.10,0.087,0.54,0.694,1,0,0,0,0,0,0,0,0,,25.8,43.3,42.7,19.7,48.7,41.1,59.8,87.5,Bench Reserve,Khyri Thomas,82.5,Ochai Agbaji,79.2,Joe Wieskamp,78.8,Reggie Bullock Jr.,78.8,Julian Strawther,78.5,-2.668,-1.917,-1.085,-1.890,-1.093,0.879,-1.177,,,,,,,G League Combine,
Andrew Carr,2025,Senior,Big,4.5,Kentucky,SEC,14.04,#0033A0,23.4,81.5,"6'9.5""",83.75,"6'11.75""",2.25,222,0.31,,0.202,0.202,0,0.25,10.3,4.7,6.7,14.2,10.6,1.7,0.9,1.89,12.2,9.4,1.30,0.7,0.7,1.4,1.6,3.2,4.8,106.5,108.5,-2,8,0.34,0.451,0.748,0.5,0.3,0.324,0.7,0.2268,0.25,0.3125,0.627,0.593,356,116.5,130.5,14,18.4,0.56,0.09,0.049,0.66,0.511,1,0,0,0,0,0,0,0,0,,31,20.2,3.7,3.3,18.6,78.6,73.3,66,Fringe NBA,Erik Murphy,76.9,Killian Tillie,76.9,Ryan Kelly,76.9,D.J. Wilson,76.7,Drew Eubanks,76.3,-2.862,-1.282,-0.902,-1.682,-1.263,0.306,-1.200,,,,,,,G League Combine,
Jonathan Pierre,2025,Senior,Wing,4,Belmont,MVC,-0.12,#C8102E,22.18,80.25,"6'8.25""",84,"7'0""",3.75,214,0.749,,0.447,0.447,0,0.50,13.8,6.3,4.1,21.6,12.8,3.5,1.9,1.84,23.1,13,1.78,0.8,0.4,1.2,1.7,1.5,3.2,108.4,107.9,0.5,3,0.14,0.248,0.768,0.5,0.517,0.369,2.2,0.8118,0.6,0.575,0.53,0.497,462,112.2,109.1,-3.1,26.7,0.52,0.13,0.071,0.87,0.487,1,0,0,0,0,0,0,0,0,,74.9,44.7,39.8,53.4,12.8,87.5,63.5,16.7,Fringe NBA,Justin Jackson (UMD),76,Tony Snell,75.5,Paul Zipser,74.7,Lindy Waters III,73.9,Gui Santos,73.9,-3.011,-1.575,-1.750,-2.112,-0.796,0.763,-1.274,,,,,,,G League Combine,
Jacksen Moni,2025,Senior,Big,4.5,North Dakota State,Summit,-3.58,#0A5640,22.35,80.75,"6'8.75""",82.75,"6'10.75""",2,230,0.165,,0.218,0.218,0,0.25,20.6,5.6,4.7,16.7,11,3.7,2.4,1.54,27.5,12.9,2.13,0.5,0.4,0.9,1,1.6,2.6,110.5,111.5,-1,5.5,0.25,0.361,0.837,0.75,0.42,0.408,2.4,0.9792,1,0.9375,0.636,0.594,535,120.2,125.5,5.3,32.5,0.63,0.11,0.074,0.85,0.397,1,0,0,0,0,0,0,0,0,,16.5,21.8,0.9,2.3,71.6,97.2,100,69.8,Bench Reserve,Killian Tillie,65.2,Sandro Mamukelashvili,64.4,Erik Murphy,64,Quinten Post,62.8,Tyler Lydon,62.1,-3.188,-1.534,-1.203,-1.975,-1.272,0.561,-1.327,,,,,,,G League Combine,
John Poulakidas,2025,Senior,Wing,2.5,Yale,Ivy League,-3.1,#00356B,22.22,76.5,"6'4.5""",81.25,"6'9.25""",4.75,199,0.149,,0.281,0.281,0,0.25,19.4,3.3,1.6,9.9,5.9,1.3,0.7,1.86,7.4,4.4,1.68,0.6,0.1,0.7,1.1,0.5,1.6,101.6,107.8,-6.2,3.5,0.16,0.219,0.897,1,0.537,0.408,3.2,1.3056,1,1,0.597,0.56,433,117.9,127.4,9.5,26.8,0.72,0.05,0.026,0.28,0.164,1,0,0,0,0,0,0,0,0,,14.9,28.1,0.3,1.8,70.8,30.7,98.2,70.6,Fringe NBA,Antonio Reeves,79.6,Tyler Dorsey,76.2,Max Strus,75.8,Jaylen Wells,74,Justinian Jessup,74,-2.837,-1.057,-1.780,-1.891,-1.325,0.295,-1.341,,,,,,,G League Combine,
Keshon Gilbert,2025,Senior,Guard,1.5,Iowa State,Big 12,10.33,#C8102E,21.99,74.5,"6'2.5""",78.25,"6'6.25""",3.75,185,0.59,,0.134,0.134,0,0.25,13.4,3.5,2.4,10.7,6.7,4.1,3.2,1.28,24,21.6,1.11,1.7,0.1,1.8,3.1,0.4,3.5,97.1,100.1,-3,5.3,0.24,0.414,0.729,0.5,0.274,0.333,0.9,0.2997,0.5,0.5,0.569,0.53,402,114.1,105.7,-8.4,23.9,0.56,0.17,0.134,1.00,0.904,1,0,0,0,0,0,0,0,0,,59,13.4,38.9,40.1,19.8,37.8,34.2,58.2,Fringe NBA,Saben Lee,78.7,Austin Reaves,78.5,Olivier Hanlan,77.8,Devyn Marble,77.8,Xavier Thames,76,-3.087,-1.749,-1.291,-2.042,-0.824,0.144,-1.361,,,,,,,G League Combine,
Chris Youngblood,2025,Senior,Wing,2.5,Alabama,SEC,16.14,#9E1B32,23.38,75.25,"6'3.25""",78.75,"6'6.75""",3.5,223,0.202,,0.280,0.280,0,0.25,10.3,2.3,3.9,5.4,4.7,0.9,1.1,0.82,5.6,11.2,0.50,0.7,0.3,1,1.4,0.9,2.3,106.2,112.6,-6.4,6.2,0.27,0.214,0.804,0.75,0.707,0.388,2.1,0.8148,0.75,0.75,0.608,0.584,253,118.5,121.2,2.7,17.1,0.60,0.05,0.064,0.33,0.655,1,0,0,0,0,0,0,0,0,,20.2,28,2.6,5.2,13,5.7,82.4,81.1,Fringe NBA,John Petty,82.9,Mantas Rubstavicius,79.1,Justinian Jessup,76.5,Duncan Robinson,76.3,Max Strus,76,-3.236,-1.222,-1.960,-2.139,-0.838,0.230,-1.405,,,,,,,G League Combine,
RJ Davis,2025,Senior,Guard,1,North Carolina,ACC,11.22,#7BAFD4,23.68,70.75,"5'10.75""",76,"6'4""",5.25,175,0.203,,0.386,0.386,0,0.50,17.2,3.4,1.1,9.8,5.7,3.6,1.5,2.40,19.4,9.1,2.13,1,0.1,1.1,1.7,0.3,2,104.9,109.7,-4.8,6.8,0.29,0.334,0.873,1,0.486,0.354,2.3,0.8142,0.5,0.625,0.556,0.499,619,113.4,118.7,5.3,24.7,0.70,0.15,0.061,0.79,0.368,1,0,0,0,0,0,0,0,0,,20.3,38.6,7.3,8.8,61.8,38.2,57.4,37.4,Fringe NBA,Joe Young,80.1,Boogie Ellis,79.5,Isaiah Wong,79.1,Marcus Zegarowski,78.6,Isaiah Canaan,78,-3.368,-2.333,-1.461,-2.387,-0.506,0.139,-1.506,,,,,,,G League Combine,
Nate Santos,2025,Senior,Wing,3,Dayton,A-10,4.05,#CE1141,23.63,77.5,"6'5.5""",80,"6'8""",2.5,210,0.28,,0.321,0.321,0,0.50,14.3,5.6,3.5,16.6,10.2,1.6,1.6,1.00,9.5,11.1,0.86,0.4,0.1,0.5,0.7,0.4,1.1,105.5,110.3,-4.8,1.4,0.06,0.36,0.738,0.5,0.471,0.418,2.1,0.8778,0.875,0.78125,0.574,0.539,435,112.4,113.8,1.4,22.3,0.64,0.07,0.072,0.43,0.498,1,0,0,0,0,0,0,0,0,,28,32.1,1,29.9,23.4,11.2,86.6,52.3,Fringe NBA,Marial Shayok,78.5,Ben Sheppard,75.2,Max Strus,73.9,Anthony Brown,73.4,Abdel Nader,72.3,-3.427,-1.507,-2.699,-2.544,-0.598,0.020,-1.642,,,,,,,G League Combine,
Malique Lewis,2025,International,Wing,3.5,S.E. Melbourne,NBL,17.95,#69BE29,20.62,78.75,"6'6.75""",85.25,"7'1.25""",6.5,217,0.682,,0.280,0.280,0,0.25,6.8,4.1,5.5,15.7,10.5,1,0.4,2.50,6.4,6.5,0.98,0.4,0.5,0.9,1,2.1,3.1,114.2,114.1,0.1,-0.7,-0.03,0.305,0.655,0.25,0.516,0.316,0.9,0.2844,0.5,0.4375,0.536,0.508,,117.6,117.8,0.2,13.6,0.50,0.07,0.029,0.47,0.478,0,1,0,1,0,0,0,0,0,,68.2,28,49.9,49,30.7,76.6,31.2,21.9,Fringe NBA,Bobi Klintman,85.3,Tidjane Salaun,85.1,Ron Harper Jr.,84.9,Kevin Hervey,83.1,Vlatko Čančar,80.8,-3.096,-2.335,-1.669,-2.367,-1.761,0.474,-1.677,,,,,,,G League Combine,
Jabri Abdur-Rahim,2025,Senior,Wing,2.5,Providence,Big East,8.33,#000000,23.26,78,"6'6""",82,"6'10""",4,225,0.542,,0.004,0.004,0,0.10,7.2,2.6,2.3,15.7,9.2,0.6,0.5,1.20,7.7,8.3,0.93,0.4,0.2,0.6,1.4,1.2,2.6,108.4,110,-1.6,5.5,0.24,0.44,0.875,0.75,0.853,0.366,1.5,0.549,0.5,0.5625,0.599,0.532,140,106.6,127.2,20.6,20.8,0.35,0.03,0.024,0.37,0.399,1,0,0,0,0,0,0,0,0,,54.2,0.4,22.7,17.4,1.3,2.9,59.8,62.8,Fringe NBA,Duncan Robinson,71.7,Kyshawn George,67.2,Joe Harris,62.9,Paul Zipser,62.5,Justin Jackson (UMD),61.9,-3.660,-1.752,-2.180,-2.531,-1.206,0.000,-1.760,,,,,,,G League Combine,
Jyare Davis,2025,Senior,Wing,3,Syracuse,ACC,8.04,#F76900,23.46,77.75,"6'5.75""",80.25,"6'8.25""",2.5,225,0.418,,0.332,0.332,0,0.50,9.4,4.9,6.9,16.4,11.6,1.4,1.3,1.08,10.7,13.8,0.78,0.6,0.4,1,1.5,1.8,3.3,110.7,111.3,-0.6,3.9,0.17,0.367,0.631,0.25,0.162,0.432,0.5,0.216,0.25,0.25,0.578,0.563,301,106.3,114.2,7.9,19.2,0.49,0.07,0.068,0.56,0.719,1,0,0,0,0,0,0,0,0,,41.8,33.2,37.5,66.1,3.6,17.4,10.3,64.3,Fringe NBA,Toumani Camara,76.9,Jalen McDaniels,76.8,Alex Poythress,74.1,Romero Osby,73.6,Tyrese Martin,72.7,-3.507,-2.281,-2.225,-2.671,-0.981,0.000,-1.799,,,,,,,G League Combine,
Johnell Davis,2025,Senior,Guard,2,Arkansas,SEC,11.7,#9D2235,24.09,75.25,"6'3.25""",80,"6'8""",4.75,196,0.801,,0.235,0.235,0,0.25,12,3.4,2.6,9.2,6.1,1.6,1.5,1.07,9.1,11.4,0.80,1.4,0.2,1.6,2.6,0.6,3.2,100.9,105.2,-4.3,4.1,0.17,0.284,0.866,0.75,0.51,0.328,1.7,0.5576,0.5,0.5625,0.526,0.474,381,108.5,106.5,-2,20.4,0.59,0.08,0.074,0.45,0.559,1,0,0,0,0,0,0,0,0,,80.1,23.5,24.8,37,11.8,1.1,48.1,16.8,Fringe NBA,Boogie Ellis,74.8,Omari Moore,74.5,Wayne Selden,71.1,Tevin Brown,69.2,Jordan McRae,68.6,-3.883,-3.074,-1.867,-2.941,-0.888,-0.241,-1.991,,,,,,,G League Combine,
