Name,Draft Year,Class,Team,Role,Position,Pre-NBA,League,SOS,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,PER,PER/Age,Age_Adj_PER,WS/40,[WS/40]/Age,BPM,Age_Adj_BPM,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,eFG%,TS%,PProd,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Americas,Other,G League,OE,Y1 Rotation,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,AVG EPM,Tier,Top 3 Pick,Lottery Pick,G Played Issue,Missing Data
Luka Garza,2021,Senior,DET,Big,5,Iowa,Big 10,10.43,22.5,83.25,"6'11.25""",85.5,"7'1.5""",2.25,243,0.384,0.122,0.068,0.090,0,0.10,23.8,9.0,10.5,18.3,14.6,1.6,1.6,1.01,12.1,6.7,1.80,0.7,1.7,2.4,1.2,5.6,6.8,102.1,100.5,1.6,35.6,1.58,0.68,0.282,0.013,14.18,13.38,0.392,0.709,0.5,0.197,0.44,1.4,0.616,0.5,0.5,0.59,0.62,655,32.33,0.73,0.050,0.049,0.374,0.208,1,0,0,0,0,0,0,0,1,-1.07974,,,-0.71994,,-0.900,Bench Reserve,0,0,,
Charles Bassey,2021,Junior,PHI,Big,5,Western Kentucky,C-USA,0.5,20.6,82.25,"6'10.25""",87.5,"7'3.5""",5.25,230,0.328,0.868,0.726,0.783,0,0.75,16.0,10.4,13.2,30.8,22.4,0.5,2.0,0.23,4.1,14.4,0.28,0.3,2.7,3.0,0.7,10.7,11.4,97.6,90.5,7.1,32.7,1.59,0.76,0.254,0.012,7.92,8.13,0.353,0.759,0.5,0.179,0.305,0.6,0.183,0.25,0.3125,0.62,0.64,441,25.24,0.63,0.018,0.078,0.162,0.570,1,0,0,0,0,0,0,0,1,-1.659,-0.30877,-2.52516,-3.99216,,-2.121,Bench Reserve,0,0,,
Sandro Mamukelashvili,2021,Senior,MIL,Big,4.5,Seton Hall,Big East,9.53,22.1,82,"6'10""",85.25,"7'1.25""",3.25,240,0.276,0.779,0.736,0.753,0,0.75,17.3,7.8,6.1,18.5,12.4,3.2,3.4,0.94,20.5,16.2,1.26,1.1,0.6,1.7,1.8,1.9,3.7,101.4,101.6,-0.2,20.2,0.91,0.03,0.127,0.006,6.53,5.95,0.344,0.714,0.5,0.323,0.336,1.6,0.5376,0.5,0.5,0.48,0.52,470,28.65,0.60,0.110,0.118,0.714,0.565,1,0,0,0,0,0,0,0,1,-4.18862,-2.95627,-0.335475,-0.367062,,-1.962,Bench Reserve,0,0,,
Aaron Wiggins,2021,Junior,OKC,Wing,2.5,Maryland,Big 10,11.97,22.5,76.5,"6'4.5""",81.75,"6'9.75""",5.25,190,0.202,0.222,0.713,0.517,0,0.50,14.5,6.3,4.4,15.7,10.4,2.5,2.1,1.15,17.3,12.1,1.43,1.2,0.6,1.8,2.2,2.4,4.6,99.5,99.2,0.3,19.9,0.88,-0.02,0.145,0.006,7.66,6.47,0.214,0.772,0.75,0.432,0.356,1.8,0.6408,0.5,0.5625,0.51,0.54,441,26.28,0.55,0.093,0.081,0.657,0.460,1,0,0,0,0,0,0,0,1,-3.77547,-1.9144,0.140593,0.931007,,-1.155,Solid Rotation,0,0,,
Scottie Lewis,2021,Sophomore,CHA,Wing,2.5,Florida,SEC,9.82,21.3,76,"6'4""",84,"7'0""",8,188,0.229,0.603,0.921,0.794,0,0.75,8.3,3.5,4,9.7,7.1,1.6,2.0,0.79,10.8,20.0,0.54,1.6,1.1,2.7,3.5,4.6,8.1,99.1,98.1,1,14.5,0.68,-0.17,0.104,0.005,6.14,5.9,0.43,0.673,0.25,0.344,0.318,0.7,0.2226,0.25,0.25,0.5,0.53,166,18.56,0.45,0.084,0.106,0.582,1.077,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Balsa Koprivica,2021,Sophomore,DET,Big,5,Florida State,ACC,9.16,21.1,83.75,"6'11.75""",87.25,"7'3.25""",3.5,240,0.622,0.5,0.5,0.500,0,0.50,9.6,5.9,13.6,19.4,16.7,0.9,1.4,0.66,8.1,15.3,0.53,0.3,1.5,1.8,0.9,8.2,9.1,97.8,97.1,0.7,24.8,1.18,0.33,0.200,0.009,6.97,6.92,0.415,0.689,0.25,0.007,0,0,0,0,0.0625,0.6,0.62,211,22.18,0.43,0.040,0.061,0.364,0.689,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Jericho Sims,2021,Senior,NY,Big,5,Texas,Big 12,9.36,22.7,82,"6'10""",87,"7'3""",5,250,0.406,1.00,0.876,0.926,1,1.00,8.4,7.2,10.2,22.1,16.4,0.6,1.7,0.36,4.9,18.3,0.27,0.7,1.1,1.8,1.7,4.8,6.5,96.8,93.5,3.3,21.7,0.96,0.05,0.181,0.008,7.2,6.3,0.741,0.52,0,0,0,0,0,0,0,0.69,0.65,227,17.13,0.49,0.034,0.097,0.285,1.067,1,0,0,0,0,0,0,0,1,-2.32831,-3.95925,-3.66388,-3.43043,,-3.345,Bench Reserve,0,0,,
RaiQuan Gray,2021,Junior,BKN,Big,4.5,Florida State,ACC,9.16,22.2,78.5,"6'6.5""",82.75,"6'10.75""",4.25,269,0.208,0.711,0.164,0.383,0,0.50,11.4,6.4,7,19.9,13.9,2.1,2.3,0.94,15.6,17.0,0.92,1.2,0.7,1.9,2.6,3.2,5.8,97.8,95.1,2.7,22.2,1.00,0.11,0.183,0.008,7.64,6.69,0.441,0.763,0.5,0.142,0.267,0.3,0.0801,0.25,0.3125,0.52,0.57,297,23.53,0.48,0.090,0.096,0.663,0.724,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Georgios Kalaitzakis,2021,International,MIL,Wing,3,Panathinaikos,Greek GBL,15.51,22.5,79.5,"6'7.5""",83,"6'11""",3.5,205,0.482,0.5,0.5,0.500,0,0.50,3.6,2.1,1.8,14.7,8.2,0.7,0.8,0.78,12.0,19.9,0.60,0.5,0.1,0.6,2.9,2.8,5.7,118,105.3,12.7,8.9,0.40,-0.50,,,-3.63,-4.82,0.64,0.813,0.75,0.46,0.261,0.2,0.0522,0.1,0.2625,0.43,0.52,,19.18,0.19,0.034,0.043,0.624,1.036,0,1,1,0,0,0,0,0,0,-4.80938,,,,,-4.809,Fringe NBA,0,0,,
Joel Ayayi,2021,Junior,,Guard,1.5,Gonzaga,WCC,5.92,21.3,77,"6'5""",79,"6'7""",2,180,0.607,0.5,0.5,0.500,0,0.50,11.4,6.8,6.6,18.5,13.1,2.6,1.4,1.86,12.1,13.9,0.87,1.1,0.2,1.3,1.7,0.6,2.3,93.1,94.9,-1.8,20.6,0.97,0.12,0.213,0.010,9.34,9.05,0.247,0.781,0.5,0.367,0.389,1.2,0.4668,0.5,0.5,0.64,0.66,394,15.7,0.72,0.162,0.087,0.769,0.885,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
David Duke Jr.,2021,Junior,,Guard,2,Providence,Big East,8.82,21.7,76.25,"6'4.25""",80.75,"6'8.75""",4.5,204,0.812,0.474,0.726,0.625,0,0.50,16.9,6.4,3,16.4,9.7,4.8,3.2,1.48,27.0,15.5,1.74,1.2,0.3,1.5,2.0,0.8,2.8,101.8,102.1,-0.3,18.1,0.83,-0.03,0.120,0.006,5.4,4.72,0.336,0.792,0.5,0.352,0.389,2,0.778,0.75,0.6875,0.45,0.50,,27.6,0.61,0.173,0.117,0.979,0.563,1,0,0,0,0,0,0,0,1,-2.49738,-3.80028,-1.3432,,,-2.547,Fringe NBA,0,0,,
Aaron Henry,2021,Junior,,Wing,3,Michigan State,Big 10,11.48,21.8,78,"6'6""",82.75,"6'10.75""",4.75,210,0.346,0.457,0.327,0.379,0,0.50,15.9,6.1,4.8,14.4,9.6,3.7,3.0,1.22,25.5,15.6,1.63,1.4,1.4,2.8,2.5,4.5,7.0,102.7,101.2,1.5,20.1,0.92,0.05,0.119,0.005,8.48,7.84,0.289,762,1,0.223,0.296,0.9,0.2664,0.25,0.4375,0.47,0.51,421,28.09,0.57,0.131,0.107,0.909,0.556,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Jay Huff,2021,Senior,,Big,4.5,Virginia,ACC,7.59,22.8,85,"7'1""",89,"7'5""",4,240,0.649,0.5,0.5,0.500,0,0.50,11.6,6.8,8.9,24.6,17.2,0.8,1.3,0.59,7.0,11.8,0.60,0.5,2.5,2.9,1.3,11.9,13.2,99,91.8,7.2,31.4,1.38,0.47,0.257,0.011,11.91,10.95,0.226,0.837,0.75,0.346,0.387,1.2,0.4644,0.5,0.5625,0.65,0.67,294,23.07,0.50,0.033,0.056,0.304,0.510,1,0,0,0,0,0,0,0,0,,0.536465,,0.0260192,,0.281,Bench Reserve,0,0,,
Matthew Hurt,2021,Sophomore,,Wing,3.5,Duke,ACC,8.33,21.2,81.5,"6'9.5""",81.5,"6'9.5""",0,232,0.65,0.15,0.167,0.160,0,0.25,18.4,6.3,5.3,17.1,11.1,1.4,1.2,1.13,8.7,7.7,1.12,0.8,0.7,1.5,1.3,2.4,3.7,102.1,104.5,-2.4,26.3,1.24,0.39,0.219,0.010,10.01,9.85,0.258,0.724,0.5,0.427,0.444,2.3,1.0212,1,0.875,0.65,0.66,371,22.98,0.80,0.060,0.053,0.378,0.336,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
A.J. Lawson,2021,Junior,,Guard,2,South Carolina,SEC,10.01,20.9,78,"6'6""",78.75,"6'6.75""",0.75,178,0.633,0.358,0.874,0.668,0,0.75,17.5,4.3,3,11.9,7.1,1.3,1.5,0.86,8.7,8.4,1.03,1.6,0.1,1.7,2.7,0.5,3.2,104.9,107.5,-2.6,17.9,0.86,0.02,0.114,0.005,5.89,5.99,0.269,0.7,0.25,0.566,0.351,2.8,0.9828,0.75,0.625,0.49,0.52,306,25.8,0.68,0.052,0.060,0.335,0.324,1,0,0,0,0,0,0,0,0,,-2.481,,-2.16214,,-2.322,Fringe NBA,0,0,,
Daishen Nix,2021,G League,,Guard,1,G League Ignite,G League,20.69,19.3,76.25,"6'4.25""",78.75,"6'6.75""",2.5,226,0.814,0.973,0.687,0.801,0,0.75,11.9,5.7,3.4,17.9,10.9,5.9,3.0,1.97,30.4,23.3,1.30,1.3,0.3,1.6,2.4,0.9,3.3,111.7,111,0.7,10.6,0.55,-0.22,-0.002,0.000,1.96,3.6,0.224,0.714,0.5,0.272,0.176,0.4,0.0704,0.1,0.2,0.42,0.49,,20.6,0.58,0.288,0.147,1.477,1.133,0,0,0,0,0,1,1,0,1,-4.58892,-4.89482,,,,-4.742,Fringe NBA,0,0,,
John Petty,2021,Senior,,Wing,2.5,Alabama,SEC,10.01,22.5,76.25,"6'4.25""",81.5,"6'9.5""",5.25,186,0.132,0.08,0.158,0.127,0,0.25,12.7,5.4,3.1,13.6,8.4,1.7,1.9,0.89,10.1,13.6,0.74,1.3,0.6,1.9,2.2,1.8,4.0,93.5,95.3,-1.8,15.9,0.71,-0.19,0.149,0.007,7.19,5.74,0.193,0.734,0.5,0.628,0.37,2.4,0.888,0.75,0.6875,0.52,0.54,374,20.1,0.63,0.086,0.097,0.501,0.677,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Yves Pons,2021,Senior,,Wing,3,Tennessee,SEC,8.46,22.1,78.75,"6'6.75""",84.75,"7'0.75""",6,206,0.514,0.813,0.866,0.845,0,0.75,8.2,5.3,6.5,14.4,10.5,0.5,1.0,0.50,4.4,10.8,0.41,0.7,1.8,2.5,1.3,7.5,8.8,92.4,93.1,-0.7,16.1,0.73,-0.16,0.147,0.007,5.63,4.76,0.197,0.789,0.5,0.321,0.274,0.7,0.1918,0.25,0.3125,0.5,0.53,211,16.24,0.50,0.032,0.063,0.270,0.664,1,0,0,0,0,0,0,0,0,-3.58157,,,,,-3.582,Fringe NBA,0,0,,
Austin Reaves,2021,Senior,,Guard,1.5,Oklahoma,Big 12,8.86,23.1,77.75,"6'5.75""",78.25,"6'6.25""",0.5,197,0.71,0.05,0.303,0.202,0,0.25,17.7,5.6,2.8,15.2,9.0,4.3,3.0,1.43,25.4,15.0,1.70,0.8,0.3,1.1,1.5,1.0,2.5,99.6,102.8,-3.2,23.6,1.02,0.10,0.183,0.008,7.51,5.48,0.541,0.865,1,0.334,0.305,1.3,0.3965,0.5,0.625,0.48,0.56,469,28,0.63,0.154,0.108,0.908,0.534,1,0,0,0,0,0,0,0,1,-1.16381,0.689893,-0.57856,2.69393,,0.410,Quality Starter,0,0,,
DJ Steward,2021,Freshman,,Guard,1.5,Duke,ACC,8.33,19.7,73.75,"6'1.75""",79,"6'7""",5.25,162,0.433,0.565,0.785,0.697,0,0.75,14.0,4.0,4.4,10.4,7.4,2.7,2.0,1.32,15.3,14.7,1.04,1.2,0.6,1.8,2.1,2.0,4.1,102.1,105.7,-3.6,17.5,0.89,0.10,0.116,0.006,4.62,5.88,0.2,1.8,1,0.475,0.341,1.8,0.6138,0.5,0.625,0.52,0.55,299,23,0.61,0.116,0.087,0.663,0.637,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Trendon Watford,2021,Sophomore,,Wing,3.5,LSU,SEC,9.14,20.6,80.75,"6'8.75""",86.25,"7'2.25""",5.5,237,0.841,0.46,0.473,0.468,0,0.50,17.1,7.8,5.4,16.8,11.4,3.1,2.7,1.16,16.4,14.9,1.10,1.1,0.6,1.7,1.8,2.1,3.9,103.1,103.7,-0.6,20.2,0.98,0.16,0.136,0.007,5.34,5.66,0.429,0.651,0.25,0.161,0.316,0.6,0.1896,0.25,0.25,0.51,0.54,462,25.07,0.68,0.123,0.106,0.653,0.596,1,0,0,0,0,0,0,0,1,-4.07,-3.33221,-2.45323,-1.27828,,-2.783,Bench Reserve,0,0,,
Romeo Weems,2021,Sophomore,,Wing,3,DePaul,Big East,8.83,20.1,79,"6'7""",82.97560,"6'10.9756""",3.97560,215,0.488,0.5,0.5,0.500,0,0.50,8.5,5.4,5,14.1,9.5,1.2,2.3,0.50,7.0,23.0,0.30,1.3,0.6,1.9,2.5,2.6,5.1,100.5,100,0.5,8.6,0.43,-0.38,0.035,0.002,0.59,1.31,0.173,0.696,0.25,0.308,0.366,0.8,0.2928,0.5,0.4375,0.44,0.46,128,18.05,0.47,0.064,0.130,0.386,1.273,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
McKinley Wright IV,2021,Senior,,Guard,1,Colorado,PAC 12,9.57,22.7,72.25,"6'0.25""",77.25,"6'5.25""",5,192,0.334,0.824,0.67,0.732,0,0.75,15.1,4.4,3.2,12.8,8.2,5.5,2.1,2.57,35.6,12.6,2.82,1.1,0.3,1.4,2.0,1.0,3.0,95.9,97.9,-2,24.7,1.09,0.18,0.227,0.010,10.52,8.88,0.329,0.844,0.75,0.251,0.301,0.9,0.2709,0.25,0.375,0.5,0.55,,25.6,0.59,0.214,0.084,1.390,0.493,1,0,0,0,0,0,0,0,0,,-4.14136,,,,-4.141,Fringe NBA,0,0,,
Duane Washington Jr.,2021,Junior,,Guard,1.5,Ohio State,Big 10,12.19,21.3,75,"6'3""",79.75,"6'7.75""",4.75,210,0.696,0.5,0.319,0.391,0,0.50,17.9,3.7,0.6,11.0,6.1,3.1,2.3,1.34,19.5,11.8,1.65,0.5,0.0,0.5,1.0,0.1,1.1,103.9,109.5,-5.6,17.9,0.84,-0.01,0.122,0.006,6.33,6.04,0.218,0.835,0.75,0.571,0.374,2.9,1.0846,0.75,0.75,0.51,0.55,,28.4,0.63,0.107,0.080,0.686,0.415,1,0,0,0,0,0,0,0,1,-3.8544,-2.80611,,,,-3.330,Fringe NBA,0,0,,
Sam Hauser,2021,Senior,,Wing,3,Virginia,ACC,7.59,23.6,80,"6'8""",81.25,"6'9.25""",1.25,218,0.416,0.518,0.314,0.396,0,0.50,13.9,6.2,3.4,20.9,12.8,1.4,1.0,1.37,9.6,6.3,1.52,0.6,0.4,1.0,1.1,1.4,2.5,99,100.5,-1.5,25.2,1.07,0.12,0.213,0.009,10.1,8.03,0.164,0.896,1,0.517,0.417,2.5,1.0425,1,1,0.59,0.61,357,23.31,0.60,0.059,0.043,0.412,0.272,1,0,0,0,0,0,0,0,1,1.99871,1.03394,1.13648,-0.037395,,1.033,Solid Rotation,0,0,,
Jose Alvarado,2021,Senior,,Guard,1,Georgia Tech,ACC,7.91,22.5,72,"6'0""",73,"6'1""",1,179,0.183,0.5,0.5,0.500,0,0.50,14.6,3.5,2.5,9.4,5.9,3.8,2.0,1.90,19.5,13.6,1.43,2.7,0.0,2.7,4.4,0.1,4.5,100.8,100.5,0.3,22.2,0.99,0.09,0.179,0.008,8.16,6.71,0.286,0.838,0.75,0.421,0.39,1.8,0.702,0.5,0.5625,0.57,0.61,394,20.5,0.71,0.186,0.098,0.950,0.664,1,0,0,0,0,0,0,0,1,1.5887,-0.250787,1.53157,-0.29852,,0.643,Solid Rotation,0,0,,
Paolo Banchero,2022,Freshman,ORL,Wing,3.5,Duke,ACC,7.26,19.6,82,"6'10""",84.5,"7'0.5""",2.5,250,0.893,0.75,0.75,0.750,0,0.75,18.3,8.1,6.4,19.5,13.4,3.5,2.4,1.44,18.6,13.8,1.34,1.1,0.9,2.0,1.9,2.7,4.6,99.1,98.1,1,24.2,1.23,0.45,0.191,0.010,7.66,8.77,0.366,0.729,0.5,0.253,0.338,1.1,0.3718,0.5,0.5,0.53,0.57,665,27.62,0.66,0.125,0.087,0.672,0.501,1,0,0,0,0,0,0,0,1,-1.19227,0.176943,1.65162,,,0.212,Fringe All-Star,1,1,,
Chet Holmgren,2022,Freshman,OKC,Big,5,Gonzaga,WCC,4.5,20.1,84,"7'0""",90,"7'6""",6,195,0.51,0.5,0.5,0.500,0,0.50,14.0,9.5,8,28.7,19.6,1.9,1.8,1.07,11.2,16.1,0.70,0.8,3.6,4.4,1.6,12.3,13.9,89.7,78.7,11,31.3,1.56,0.75,0.294,0.015,14.49,14.97,0.354,0.717,0.5,0.375,0.39,1.3,0.507,0.75,0.6875,0.68,0.69,424,21.51,0.65,0.089,0.084,0.521,0.748,1,0,0,0,0,0,0,0,1,,2.90114,3.33587,,,3.119,All-NBA Caliber,1,1,,
Jabari Smith Jr.,2022,Freshman,HOU,Wing,4,Auburn,SEC,8.17,19.1,82,"6'10""",86.5,"7'2.5""",4.5,210,0.828,0.75,0.75,0.750,0,0.75,18.7,7.9,3.5,24.0,13.9,2.3,1.9,1.22,15.8,12.1,1.30,1.1,1.0,2.1,2.1,3.9,6.0,92.9,90.7,2.2,25.1,1.31,0.55,0.227,0.012,11.19,12.7,0.384,0.799,0.5,0.44,0.42,2.3,0.966,0.75,0.6875,0.54,0.59,,28.1,0.67,0.083,0.068,0.560,0.430,1,0,0,0,0,0,0,0,1,-3.03099,-0.525098,-0.0745524,,,-1.210,Solid Rotation,1,1,,
Keegan Murray,2022,Sophomore,SAC,Wing,3,Iowa,Big 10,6.87,21.8,80,"6'8""",83,"6'11""",3,225,0.597,0.5,0.5,0.500,0,0.50,22.7,8.4,9.8,20.0,14.8,1.4,1.1,1.27,9.3,5.3,1.75,1.3,1.9,3.2,2.3,6.3,8.6,100.5,96.8,3.7,37.8,1.73,0.86,0.311,0.014,13.1,12.46,0.343,0.749,0.5,0.3,0.398,1.9,0.7562,0.75,0.6875,0.61,0.63,724,29.39,0.77,0.047,0.037,0.317,0.181,1,0,0,0,0,0,0,0,1,-0.855814,1.46031,0.588645,,,0.398,Solid Rotation,0,1,,
Jaden Ivey,2022,Sophomore,DET,Guard,2,Purdue,Big 10,8.23,20.3,76,"6'4""",81,"6'9""",5,200,0.728,0.94,0.94,0.940,1,1.00,17.9,4.9,2.7,15.0,9.3,3.3,2.6,1.25,20.0,15.0,1.33,0.9,0.6,1.5,1.8,2.0,3.8,101.6,102.5,-0.9,22.5,1.11,0.30,0.181,0.009,7.31,7.99,0.469,0.744,0.5,0.406,0.358,1.8,0.6444,0.5,0.5,0.54,0.59,586,28.9,0.62,0.112,0.090,0.692,0.519,1,0,0,0,0,0,0,0,1,-4.49782,-1.67515,-0.697666,,,-2.290,Solid Rotation,0,1,,
Bennedict Mathurin,2022,Sophomore,IND,Wing,2.5,Arizona,PAC 12,6.84,20,77.5,"6'5.5""",81,"6'9""",3.5,205,0.259,0.75,0.75,0.750,0,0.75,18.4,5.7,5.1,12.9,9.5,2.7,1.8,1.51,14.4,10.9,1.32,1.0,0.3,1.3,1.6,0.7,2.3,92.9,96.8,-3.9,21.1,1.06,0.26,0.205,0.010,7.89,8.69,0.368,0.764,0.5,0.465,0.369,2.2,0.8118,0.75,0.6875,0.55,0.59,600,25.06,0.73,0.107,0.071,0.576,0.436,1,0,0,0,0,0,0,0,1,-2.36202,-3.07513,-1.48581,,,-2.308,Solid Rotation,0,1,,
Dyson Daniels,2022,G League,NO,Guard,1.5,G League Ignite,G League,20.69,19.3,78,"6'6""",82.5,"6'10.5""",4.5,195,0.84,0.245,0.742,0.543,0,0.50,14.7,7.2,5.6,22.4,13.6,5.3,2.8,1.89,23.5,17.9,1.31,2.3,0.8,3.1,3.6,2.5,6.1,109.4,111,-1.6,14.8,0.77,-0.01,0.083,0.004,4.66,6.3,0.146,0.533,0,0.292,0.3,0.9,0.27,0.25,0.1875,0.51,0.55,,22.8,0.64,0.234,0.124,1.032,0.786,0,0,0,0,0,1,1,0,1,-1.69416,-0.484604,1.52931,,,-0.216,Fringe All-Star,0,1,,
Jeremy Sochan,2022,Freshman,SA,Wing,3.5,Baylor,Big 12,8.76,19.1,81,"6'9""",83.75,"6'11.75""",2.75,230,0.714,0.75,0.75,0.750,0,0.75,11.1,7.0,8.9,21.1,15.0,2.2,1.6,1.37,14.2,16.5,0.86,1.3,0.7,2.0,2.9,3.3,6.2,92.7,89.8,2.9,19.6,1.03,0.26,0.182,0.010,8.18,9.69,0.427,0.589,0,0.384,0.296,0.8,0.2368,0.25,0.1875,0.55,0.57,282,20.2,0.55,0.111,0.081,0.700,0.816,1,0,0,0,0,0,0,0,1,-1.95799,-1.7403,0.416669,,,-1.094,Solid Rotation,0,1,,
Johnny Davis,2022,Sophomore,WAS,Guard,2,Wisconsin,Big 10,9.16,20.3,77.75,"6'5.75""",80.5,"6'8.5""",2.75,196,0.773,0.5,0.5,0.500,0,0.50,20.6,8.3,1.1,12.5,6.6,2.4,2.3,1.01,15.8,10.8,1.46,1.3,0.7,2.0,1.7,0.0,1.7,98.5,95.8,2.7,24.3,1.20,0.39,0.171,0.008,9.15,9.83,0.345,0.791,0.5,0.622,0.306,1.2,0.3672,0.25,0.3125,0.47,0.53,431,32.9,0.63,0.071,0.071,0.480,0.329,1,0,0,0,0,0,0,0,1,-4.95886,-5.92497,-2.64936,,,-4.511,Fringe NBA,0,1,,
Ousmane Dieng,2022,International,OKC,Wing,3.5,NZ Breakers,NBL,17.95,19.1,81,"6'9""",84,"7'0""",3,185,0.547,0.5,0.5,0.500,0,0.50,13.4,5.3,2.6,16.1,9.1,1.7,1.7,1.02,13.0,13.6,0.95,0.8,0.6,1.4,1.7,2.2,3.9,115,111.8,3.2,10.7,0.56,-0.20,,,-1.4,0.11,0.134,0.667,0.25,0.478,0.271,1.1,0.2981,0.25,0.25,0.48,0.50,,26.9,0.50,0.065,0.063,0.481,0.505,0,1,0,1,0,0,0,0,1,-2.72214,-2.51731,-2.12242,,,-2.454,Bench Reserve,0,1,,
Jalen Williams,2022,Junior,OKC,Wing,3,Santa Clara,WCC,3.61,21.2,77.75,"6'5.75""",86.25,"7'2.25""",8.5,209,0.526,0.868,0.963,0.925,1,1.00,16.8,3.7,2,11.7,7.2,4.0,2.0,2.00,21.6,12.4,1.74,1.1,0.4,1.5,1.8,1.2,3.0,100.4,102.6,-2.2,22.8,1.08,0.23,0.184,0.009,5.41,5.25,0.33,0.809,0.75,0.248,0.396,1.3,0.5148,0.75,0.75,0.56,0.60,589,23.98,0.70,0.166,0.083,0.900,0.518,1,0,0,0,0,0,0,0,1,-0.803572,3.08501,3.64088,,,1.974,All-NBA Caliber,0,1,,
Jalen Duren,2022,Freshman,DET,Big,5,Memphis,American,7.86,18.6,83,"6'11""",89,"7'5""",6,250,0.576,0.75,0.75,0.750,0,0.75,14.1,8.6,14,21.5,18.0,1.6,2.2,0.73,12.1,19.1,0.64,0.9,2.3,3.1,1.8,9.9,11.7,96.2,91.9,4.3,25.3,1.36,0.62,0.190,0.010,7.15,8.42,0.441,0.625,0.25,0.004,0,0,0,0,0.0625,0.6,0.61,330,24.21,0.58,0.067,0.091,0.501,0.788,1,0,0,0,0,0,0,0,1,-1.65584,-0.266579,0.334076,,,-0.529,Solid Rotation,0,1,,
Ochai Agbaji,2022,Senior,CLE,Wing,2.5,Kansas,Big 12,11.3,22.2,76.5,"6'4.5""",82,"6'10""",5.5,214,0.276,0.852,0.75,0.791,0,0.75,18.9,5.4,2.8,12.6,8.0,1.6,2.2,0.73,8.7,10.7,0.81,1.0,0.7,1.7,1.6,2.0,3.6,95.8,99,-3.2,20.8,0.94,0.05,0.181,0.008,9.56,8.61,0.28,0.743,0.5,0.466,0.407,2.6,1.0582,0.75,0.6875,0.56,0.58,631,26.03,0.72,0.062,0.085,0.334,0.412,1,0,0,0,0,0,0,0,1,-2.26603,-2.93278,-0.834361,,,-2.011,Bench Reserve,0,1,,
Mark Williams,2022,Sophomore,CHA,Big,5,Duke,ACC,7.26,20.5,86,"7'2""",90.5,"7'6.5""",4.5,242,0.828,0.75,0.75,0.750,0,0.75,11.6,7.4,13.2,21.2,17.5,1.0,0.9,1.09,7.4,10.8,0.68,0.5,2.8,3.4,1.2,11.4,12.6,99.1,93.2,5.9,33.1,1.61,0.79,0.271,0.013,12.45,12.72,0.291,0.727,0.5,0.004,0,0,0,0,0.125,0.72,0.73,407,18.8,0.61,0.052,0.047,0.391,0.575,1,0,0,0,0,0,0,0,1,-1.20373,1.33485,-0.79204,,,-0.220,Quality Starter,0,1,,
AJ Griffin,2022,Freshman,ATL,Wing,3,Duke,ACC,7.26,18.8,78,"6'6""",83.5,"6'11.5""",5.5,222,0.471,0.5,0.5,0.500,0,0.50,12.2,4.4,3.9,14.3,9.4,1.4,0.6,2.36,8.7,8.3,1.04,0.6,0.6,1.2,1.3,2.3,3.6,99.1,102.3,-3.2,20.7,1.10,0.35,0.180,0.010,8.06,9.81,0.179,0.792,0.5,0.537,0.447,1.8,0.8046,0.75,0.6875,0.64,0.65,349,19.05,0.64,0.073,0.031,0.456,0.437,1,0,0,0,0,0,0,0,1,-0.952697,,,,,-0.953,Fringe NBA,0,0,,
Tari Eason,2022,Sophomore,HOU,Wing,4,LSU,SEC,8.3,21.1,80,"6'8""",86,"7'2""",6,217,0.701,0.75,0.75,0.750,0,0.75,17.1,6.7,10.5,19.8,15.2,1.0,2.2,0.45,10.3,13.8,0.75,1.9,1.1,3.0,4.5,6.3,10.8,89.4,83.2,6.2,33.4,1.58,0.74,0.294,0.014,14.81,14.73,0.515,0.803,0.5,0.214,0.359,0.8,0.2872,0.5,0.5,0.56,0.61,506,31.99,0.53,0.031,0.069,0.321,0.431,1,0,0,0,0,0,0,0,1,-0.776508,0.248092,1.3698,,,0.280,Solid Rotation,0,0,,
